TeamSeed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,50.0,57.7,63.2,72.2,80.0,75.0,85.7,78.8,92.7,85.7,60.0,100.0,100.0,-,-,98.8
2,42.3,50.0,61.3,50.0,14.3,76.5,70.7,25.0,0.0,64.9,80.0,100.0,-,-,93.1,-
3,36.8,38.7,50.0,50.0,66.7,59.8,62.5,100.0,66.7,71.4,64.9,-,-,85.6,66.7,-
4,27.8,50.0,50.0,50.0,56.5,60.0,40.0,45.5,50.0,100.0,0.0,71.1,79.4,-,-,-
5,20.0,85.7,33.3,43.5,50.0,100.0,-,33.3,50.0,100.0,-,64.4,85.7,-,-,-
6,25.0,23.5,40.2,40.0,0.0,-,62.5,0.0,-,66.7,61.3,-,-,87.5,100.0,-
7,14.3,29.3,37.5,60.0,-,37.5,-,50.0,-,61.0,0.0,-,-,100.0,33.3,-
8,21.2,75.0,0.0,54.5,66.7,100.0,50.0,-,48.1,-,100.0,0.0,100.0,-,100.0,-
9,7.3,100.0,33.3,50.0,50.0,-,-,51.9,-,-,0.0,-,100.0,-,-,100.0
10,14.3,35.1,28.6,0.0,0.0,33.3,39.0,-,-,50.0,50.0,-,-,100.0,100.0,-
11,40.0,20.0,35.1,100.0,-,38.8,100.0,0.0,100.0,50.0,50.0,-,-,100.0,-,-
12,0.0,0.0,-,28.9,35.6,-,-,100.0,-,-,-,50.0,75.0,-,-,-
13,0.0,-,-,20.6,14.3,-,-,0.0,0.0,-,-,25.0,50.0,-,-,-
14,-,-,14.4,-,-,12.5,0.0,-,-,0.0,0.0,-,-,50.0,-,-
15,-,6.9,33.3,-,-,0.0,66.7,0.0,-,0.0,-,-,-,-,-,-
16,1.2,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,50.0
